Date,Site,Section,Quad #,Kingdom,Phylum,Class,Order,Family,Genus ,Species,Common Name,Photo ID,Method,# Per Quadrat,# Per m^2,% Cover,Pi,ln(pi),Pi*ln(pi),H',Pi^2,SUM Pi^2,D,Species,Count,Rank,,,,,,,,,,Count,Rank
6/30/18,1,D,8,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,-,Periwinkle Snails,"IMG 7009, 7011, 7016-7017",Quadrat Sampling,170,203.3183954,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,9,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,-,Periwinkle Snails,-,Quadrat Sampling,150,179.3985842,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,6,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,-,Periwinkle Snails,-,Quadrat Sampling,145,173.4186314,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,5,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,-,Periwinkle Snails,IMG 7016-7017,Quadrat Sampling,110,131.5589617,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,2,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,-,Periwinkle Snails,SAM 0352-0353,Quadrat Sampling,1,1.195990561,ND,0.323595506,-1.128260983,0.365100183,,0.104714051,,,,,,,,,,,,,,,,
5/18/18,1,E,1,Animalia,Mollusca,Gastropoda,Littotinimorpha,Naticoidea,Neverita,lewisii,Lewis' Moonsnail,"SAM 9779, 9695-9698, IMG_5850-5851",Quadrat Sampling,1,1.195990561,ND,0.000561798,-7.484368643,0.004204701,,3.15617E-07,,,,,,,,,,,,,,,,
6/8/18,1,D,3,Animalia,Mollusca,Gastropoda,Patellogastropoda,-,-,-,Limpet,IMG 6156-6157,Quadrat Sampling,1,1.195990561,ND,0.000561798,-7.484368643,0.004204701,,3.15617E-07,,,,,,,,,,,,,,,,
6/30/18,1,D,6,Animalia,Mollusca,Gastropoda,Patellogastropoda,Lottioidea,Lottia,-,Lottia Limpets,"SAM 0205-0206, 0209, 0211, 0213, 0220, 0345, 0347-0348, 0350",Quadrat Sampling,18,21.5278301,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,2,Animalia,Mollusca,Gastropoda,Patellogastropoda,Lottioidea,Lottia,-,Lottia Limpets,-,Quadrat Sampling,2,2.391981122,ND,0.011235955,-4.48863637,0.050434117,,0.000126247,,,,,,,,,,,,,,,,
7/21/18,3,A,2,Animalia,Arthropoda,Arachnida,Aranacea,-,-,-,Spider,"SAM 1575-1580, 1926-1927",Quadrat Sampling,1,1.195990561,ND,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Pi,ln(pi),(pi*ln(pi))*-1,H',Pi^2,SUM Pi^2,D,,,Species,Cover,,,,,,,,,,
5/18/18,1,E,2,Chromista,Ochrophyta,Phaeophyceae,-,-,-,-,Brown Algae 1,IMG 5861-5863,Quadrat Sampling,ND,ND,0.10,0.013384321,-4.313671315,0.057735563,0.884328434,0.00017914,0.323979359,3.086616395,,,Brown Algae,0.14,,,,,,,,,,
6/29/18,1,D,4,Chromista,Ochrophyta,Phaeophyceae,-,-,-,-,Brown Algae 1,IMG 6967,Quadrat Sampling,ND,ND,0.04,-,,,,,,,,,Green Algae,0.02,,,,,,,,,,
5/18/18,1,E,2,Plantae,Chlorophyta,-,-,-,-,-,Green Algae,IMG 5857,Quadrat Sampling,ND,ND,0.02,0.001912046,-6.259581464,0.011968607,,3.65592E-06,,,,,Turkish Washcloth,0.14,,,,,,,,,,
6/29/18,1,H,6,Plantae,Rhodophyta,-,-,-,-,-,Brown Algae 1,IMG 6907-6909,Quadrat Sampling,ND,ND,ND,-,,,,,,,,,Red Alder,4.45,,,,,,,,,,
6/30/18,1,D,8,Plantae,Rhodophyta,Florideophycea,Gigartinales,Phyllophoraceae,Mastocarpus,papillatus,Turkish Washcloth,IMG 7014-7015,Quadrat Sampling,ND,ND,0.04,0.013384321,-4.313671315,0.057735563,,0.00017914,,,,,Big Leaf Maple,0.05,,,,,,,,,,
6/30/18,1,D,6,Plantae,Rhodophyta,Florideophycea,Gigartinales,Phyllophoraceae,Mastocarpus,papillatus,Turkish Washcloth,IMG 7081-7084,Quadrat Sampling,ND,ND,0.10,-,,,,,,,,,Eelgrass,3.95,,,,,,,,,,
5/19/18,1,A,6,Plantae,Tracheophyte,Dicotyledons,Fagales,Betutlaceae,Alnus,rubra,Red Alder,SAM 9841-9843,Quadrat Sampling,ND,ND,0.20,0.42543021,-0.854654362,0.363595785,,0.180990864,,,,,,,,,,,,,,,,
5/19/18,1,A,5,Plantae,Tracheophyte,Dicotyledons,Fagales,Betutlaceae,Alnus,rubra,Red Alder,SAM 9841-9843,Quadrat Sampling,ND,ND,0.70,-,,,,,,,,,,,,,,,,,,,,
5/19/18,1,A,8,Plantae,Tracheophyte,Dicotyledons,Fagales,Betutlaceae,Alnus,rubra,Red Alder,SAM 9841-9843,Quadrat Sampling,ND,ND,0.75,-,,,,,,,,,,,,,,,,,,,,
5/19/18,1,A,4,Plantae,Tracheophyte,Dicotyledons,Fagales,Betutlaceae,Alnus,rubra,Red Alder,SAM 9841-9843,Quadrat Sampling,ND,ND,0.80,-,,,,,,,,,,,,,,,,,,,,
5/19/18,1,A,3,Plantae,Tracheophyte,Dicotyledons,Fagales,Betutlaceae,Alnus,rubra,Red Alder,SAM 9817-9821,Quadrat Sampling,ND,ND,1.00,-,,,,,,,,,,,,,,,,,,,,
5/19/18,1,A,7,Plantae,Tracheophyte,Dicotyledons,Fagales,Betutlaceae,Alnus,rubra,Red Alder,SAM 9841-9843,Quadrat Sampling,ND,ND,1.00,-,,,,,,,,,,,,,,,,,,,,
5/19/18,1,A,4,Plantae,Tracheophyte,Dicotyledons,Sapindales,Aceraceae,Acer,macrophyllum,Big Leaf Maple,SAM 9844-9847,Quadrat Sampling,ND,ND,0.05,0.004780115,-5.343290732,0.025541543,,2.28495E-05,,,,,,,,,,,,,,,,
6/29/18,1,H,1,Plantae,Tracheophyte,Liliopsida,Alismatales,Zosteraceae,Zostera,marina,Eelgrass,SAM 1118,Quadrat Sampling,ND,ND,0.25,-,,,,,,,Site ,1,1,1,,,,,,,,,,
6/29/18,1,H,4,Plantae,Tracheophyte,Liliopsida,Alismatales,Zosteraceae,Zostera,marina,Eelgrass,SAM 1117,Quadrat Sampling,ND,ND,0.30,-,,,,,,,Method,Percent cover,Percent cover,Percent Cover With B. glandula,,,,,,,,,,
5/18/18,1,A,1,Plantae,Tracheophyte,Liliopsida,Alismatales,Zosteraceae,Zostera,marina,Eelgrass,"SAM 9672,9673, 9674",Quadrat Sampling,ND,ND,0.40,0.377629063,-0.97384288,0.367751374,,0.142603709,,,Total Richness,6,6,7,,,,,,,,,,
6/29/18,1,H,7,Plantae,Tracheophyte,Liliopsida,Alismatales,Zosteraceae,Zostera,marina,Eelgrass,SAM 1116,Quadrat Sampling,ND,ND,0.60,-,,,,,,,Total Abundance,866,8.66,10.46,,,,,,,,,,
6/29/18,1,H,9,Plantae,Tracheophyte,Liliopsida,Alismatales,Zosteraceae,Zostera,marina,Eelgrass,SAM 1114,Quadrat Sampling,ND,ND,0.70,-,,,,,,,Species Evenness,0.489648,0.489648,0.454455,,,,,,,,,,
6/29/18,1,H,2,Plantae,Tracheophyte,Liliopsida,Alismatales,Zosteraceae,Zostera,marina,Eelgrass,SAM 1118,Quadrat Sampling,ND,ND,0.80,-,,,,,,,H',0.877332,0.877332,0.884328,,,,,,,,,,
6/29/18,1,H,6,Plantae,Tracheophyte,Liliopsida,Alismatales,Zosteraceae,Zostera,marina,Eelgrass,SAM 1116,Quadrat Sampling,ND,ND,0.90,-,,,,,,,HMAX,1.791759,1.791759,1.94591,,,,,,,,,,
6/30/18,1,D,6,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,IMG 7080,Quadrat Sampling,1970,2356.101406,0.20,0.16,-1.811065088,0.296072782,,0.0267256853935049,,,Simpson's,2.115705,2.115705,3.086616,,,,,,,,,,
6/30/18,1,D,5,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,IMG 7012-7013 ,Quadrat Sampling,1870,2236.50235,0.20,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,D,4,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,SAM 1136,Quadrat Sampling,1850,2212.582538,0.36,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,2,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,"SAM 0189, 0192-0193, 0197, 0199-0200, 0351 IMG 6081-6082",Quadrat Sampling,1640,1961.42452,0.25,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,8,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,"IMG 7004-7005, 7012-7013",Quadrat Sampling,1600,1913.584898,0.20,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,9,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,"IMG 7076-7077, 7080",Quadrat Sampling,1470,1758.106125,0.35,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,D,7,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,SAM 1139-1141,Quadrat Sampling,1290,1542.827824,0.15,-,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
